title,link
目录,[]
资源三号全国无控制整体区域网平差关键技术及应用,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20160534?viewType=HTML
资源三号国产星敏感器事后定姿方案设计与系统实现,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20140745?viewType=HTML
利用稀疏自表达实现高光谱影像波段选择,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150052?viewType=HTML
结合光谱和纹理的高分辨率遥感图像分水岭分割,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150097?viewType=HTML
Hyperion高光谱影像坏线修复的局部空间-光谱相似性测度方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150007?viewType=HTML
图像纹理基元分类的马尔柯夫随机场方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150615?viewType=HTML
基于Shearlet变换的SAR与多光谱遥感影像融合,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150768?viewType=HTML
利用目标区域拓扑关系图提取建筑物点云,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20160112?viewType=HTML
时序PSInSAR研究建筑物高度信息提取,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20140239?viewType=HTML
面向卫星云图云分类的自适应模糊支持向量机,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20140734?viewType=HTML
知识引导的滑坡监测数据粗差定位与剔除方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150125?viewType=HTML
一种基于重排检验的时空聚类方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20141016?viewType=HTML
全月球撞击坑的空间分布模式,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20140893?viewType=HTML
顾及结构和几何特征的道路自动选取方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20140862?viewType=HTML
知识驱动下的水文模型参数智能化设置方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150044?viewType=HTML
诱发因素影响下的滑坡参数优化预测模型研究,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20140913?viewType=HTML
利用鱼眼相机对人群进行运动估计,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150090?viewType=HTML
CGCS2000框架维持方法分析,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150189?viewType=HTML
附加垂线偏差参数的地面常规网与GNSS基线网联合平差,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150040?viewType=HTML
基于部分固定策略的多系统长距离基准站间模糊度快速解算,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20140945?viewType=HTML
基于矩估计法的P范分布参数估计,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20140968?viewType=HTML
