title,link
目录,[]
一种基于矢量数据的遥感影像变化检测方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190131?viewType=HTML
改进Wallis模型的高分辨率遥感影像阴影自动补偿方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190032?viewType=HTML
改进Yolo-v3的视频图像火焰实时检测算法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190440?viewType=HTML
利用卷积神经网络和小面元进行人脸图像替换,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20180500?viewType=HTML
利用移动窗口遥感生态指数分析矿区生态环境,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190122?viewType=HTML
利用多尺度张量投票的建筑立面分割方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20180487?viewType=HTML
单圆盾构隧道移动激光扫描收敛值计算,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190119?viewType=HTML
一种改进的BDS-2/BDS-3联合精密定轨系统偏差处理模型,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190132?viewType=HTML
小波多尺度分解和奇异谱分析在GNSS站坐标时间序列分析中的应用,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190107?viewType=HTML
垂线偏差对CHZ-Ⅱ重力仪稳定平台姿态精度的影响,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190093?viewType=HTML
基于变量投影的结构总体最小二乘算法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190115?viewType=HTML
利用FY-3C折射率对大气边界层高度的反演与分析,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190271?viewType=HTML
基于乡村宜居性和人口流动网络特征的农村居民点重构,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200489?viewType=HTML
一种界址点与界址线提取的优化算法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190273?viewType=HTML
城市扩张程度的影响因素分析——以武汉市为例,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190106?viewType=HTML
面向特征的网络空间点群要素自动综合方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200002?viewType=HTML
非刚性部分模型与完整模型的对应关系计算,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190055?viewType=HTML
多元自适应回归样条法的滑坡敏感性评价,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190136?viewType=HTML
