title,link
目录,[]
融合可视与不可视地标的行人相对定位方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190411?viewType=HTML
三维城市的玻璃幕墙光污染分析,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200492?viewType=HTML
利用Hilbert曲线与Cassandra技术实现时空大数据存储与索引,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200367?viewType=HTML
一种应用传感器网和实景三维模型的复杂建筑物实时动态监测方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200462?viewType=HTML
地理格网模型支持下的轨迹数据管理与分析框架：方法与应用,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200459?viewType=HTML
顾及实时路况的城市浪费性通勤测算,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190363?viewType=HTML
街景影像下的临街建筑风格映射及地图生成方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200445?viewType=HTML
一种视觉与惯性协同的室内多行人目标定位方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200454?viewType=HTML
融入空间关系的矩阵分解POI推荐模型,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200355?viewType=HTML
一种应用协同优化策略的有组织疏散方案,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200443?viewType=HTML
面向行人导航的注视方向估计模型,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200465?viewType=HTML
城市出行天空可视指数,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200447?viewType=HTML
移动轨迹数据支持下的城市居民通勤活动分析,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200025?viewType=HTML
设施服务分区问题的求解算法框架设计,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200393?viewType=HTML
面向分布式列式存储的轨迹大数据k近邻查询,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200136?viewType=HTML
运用交通运行状况指标分析交通热点时空模式,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190357?viewType=HTML
利用破坏重建算法进行物流车辆动态调度,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200017?viewType=HTML
出租车出行的空间不平等及其与人口结构的关联,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190327?viewType=HTML
利用NPP-VIIRS夜间灯光遥感数据分析城市蔓延对雾霾污染的影响,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20200455?viewType=HTML
一种室内人群时空聚集区域识别方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20190228?viewType=HTML
