title,link
目录,[]
基于嫦娥二号立体影像的全月高精度地形重建,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20170400?viewType=HTML
航海图等深线化简质量的定量评估指标与方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20160113?viewType=HTML
空间数据连续尺度表达的矢量金字塔模型,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150723?viewType=HTML
基于过渡投影面的室内地图统一数学基础转换方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20160034?viewType=HTML
一种基于Fréchet距离的复杂线状要素匹配方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150677?viewType=HTML
空间染色镶嵌模型理论与应用,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150670?viewType=HTML
一种球面退化四叉树格网的多层次邻近搜索算法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150611?viewType=HTML
气溶胶光学厚度估测中的LASSO特征选择方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20160014?viewType=HTML
融合流程优化思维的遥感影像变化检测自动化研究,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20160026?viewType=HTML
不同函数拟合水体后向散射波形对激光测深精度的影响,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150652?viewType=HTML
一种切空间协同表示的高光谱遥感影像分类方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150579?viewType=HTML
一种自适应三维核回归的遥感时空融合方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20160141?viewType=HTML
联合卫星测高、GRACE、海洋和气象资料研究南海海水质量变化,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150691?viewType=HTML
航空重力向下延拓的最小二乘配置Tikhonov正则化法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150728?viewType=HTML
海空重力测量平台倾斜改正修正模型,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150630?viewType=HTML
一种基于多面函数的改进最小二乘配置方法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150664?viewType=HTML
基于Holt指数平滑模型的Klobuchar模型精化,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150751?viewType=HTML
随机共振算法在北斗微弱信号捕获中的应用,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150337?viewType=HTML
一种改进的精密单点定位模型,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20160043?viewType=HTML
基于EMD和WD联合算法的GPS水汽时间序列的周期性振荡分析,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150596?viewType=HTML
联合小波和方差分量估计方法分析中国IGS测站时间序列变化特征,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150731?viewType=HTML
一种改进的宽巷引导整周模糊度固定算法,http://ch.whu.edu.cn:80/cn/article/doi/10.13203/j.whugis20150462?viewType=HTML
